id	parentID	kingdom	phylum	class	order	family	scientificName	rank	status
1354		Plantae	Tracheophyta	Spermatopsida	Boraginales	Boraginaceae	Borago officinalis	species	accepted
1443		Plantae	Tracheophyta	Spermatopsida	Brassicales	Capparaceae	Capparis spinosa	species	accepted
1448		Plantae	Tracheophyta	Spermatopsida	Solanales	Solanaceae	Capsicum annuum	species	accepted
1533		Plantae	Tracheophyta	Spermatopsida	Asterales	Asteraceae	Carthamus tinctorius	species	accepted
1535		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Carum carvi	species	accepted
1633		Plantae	Tracheophyta	Spermatopsida	Laurales	Lauraceae	Cinnamomum zeylanicum	species	accepted
1679		Plantae	Tracheophyta	Spermatopsida	Gentianales	Rubiaceae	Coffea	genus	accepted
1680		Plantae	Tracheophyta	Spermatopsida	Gentianales	Rubiaceae	Coffea arabica	species	accepted
1708		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Coriandrum sativum	species	accepted
1773		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Cuminum cyminum	species	accepted
1895		Plantae	Tracheophyta	Spermatopsida		Zingiberaceae	Elettaria cardamomum	species	accepted
1896		Plantae	Tracheophyta	Spermatopsida		Zingiberaceae	Elettaria major	species	accepted
2030		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Foeniculum vulgare	species	accepted
2261		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Hyssopus officinalis	species	accepted
2377		Plantae	Tracheophyta	Spermatopsida	Laurales	Lauraceae	Laurus nobilis	species	accepted
2416		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Levisticum officinale	species	accepted
2559		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Melissa	genus	accepted
2568		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Mentha x gracilis	species	accepted
2626		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Myrrhis odorata	species	accepted
2627		Plantae	Tracheophyta	Spermatopsida	Myrtales	Myrtaceae	Myrtaceae	family	accepted
2653		Plantae	Tracheophyta	Spermatopsida	Solanales	Solanaceae	Nicotiana alata	species	accepted
2654		Plantae	Tracheophyta	Spermatopsida	Solanales	Solanaceae	Nicotiana rustica	species	accepted
2669		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Ocimum	genus	accepted
2717		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Origanum	genus	accepted
2801		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Caryophyllaceae	Petrorhagia saxifraga	species	accepted
2802		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Petroselinum	genus	accepted
2803		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Petroselinum crispum	species	accepted
2850		Plantae	Tracheophyta	Spermatopsida	Filicales	Marsileaceae	Pilularia globulifera	species	accepted
2852		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Pimpinella	genus	accepted
2871		Plantae	Tracheophyta	Spermatopsida	Piperales	Piperaceae	Piper	genus	accepted
3141		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Rosmarinus	genus	accepted
3142		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Rosmarinus officinalis	species	accepted
3177		Plantae	Tracheophyta	Spermatopsida	Sapindales	Rutaceae	Ruta	genus	accepted
3178		Plantae	Tracheophyta	Spermatopsida	Sapindales	Rutaceae	Ruta graveolens	species	accepted
3217		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Salvia officinalis	species	accepted
3240		Plantae	Tracheophyta	Spermatopsida	Asterales	Asteraceae	Saussurea	genus	accepted
3429		Plantae	Tracheophyta	Spermatopsida	Lamiales	Lamiaceae	Stachys officinalis	species	accepted
